거래금액,년도,법정동,아파트,월,전용면적,층
"      94,000",2019, 필운동,신동아블루아광화문의꿈,12,107.5,7
"     125,000",2019, 사직동,광화문스페이스본(101동~105동),12,126.34,4
"     159,000",2019, 사직동,광화문스페이스본(106동),12,153.42,11
"     130,000",2019, 사직동,광화문스페이스본(101동~105동),12,108.55,5
"     155,000",2019, 사직동,광화문스페이스본(101동~105동),12,159.01,9
"     160,000",2019, 내수동,경희궁의아침3단지,12,149,16
"     130,000",2019, 내수동,킹스매너,12,201.82,2
"     143,000",2019, 내수동,경희궁의아침4단지,12,124.17,3
"      30,500",2019, 익선동,현대뜨레비앙,12,48.54,2
"      85,000",2019, 인의동,효성쥬얼리시티,12,106.81,13
"      72,000",2019, 인의동,효성쥬얼리시티,12,84.64,11
"      68,500",2019, 인의동,효성쥬얼리시티,12,84.98,14
"      84,200",2019, 인의동,효성쥬얼리시티,12,98.39,16
"      35,000",2019, 이화동,송림아마레스아파트,12,84.42,4
"      17,000",2019, 충신동,CS타워,12,21.94,5
"      25,000",2019, 동숭동,동성아파트(1동),12,57.96,1
"      68,500",2019, 명륜1가,건양하늘터,12,84.78,7
"      87,500",2019, 명륜2가,아남1,12,84.9,7
"      87,500",2019, 명륜2가,아남1,12,84.9,5
"      90,000",2019, 명륜2가,아남1,12,84.8,16
"     113,000",2019, 명륜2가,아남2,12,114.36,3
"     150,000",2019, 명륜2가,아남3,12,172.17,8
"      91,000",2019, 명륜2가,아남1,12,84.9,16
"      86,500",2019, 명륜2가,아남1,12,84.9,3
"      61,500",2019, 명륜2가,아남2,12,59.4,2
"      59,500",2019, 명륜2가,아남3,12,47.43,7
"      90,000",2019, 명륜2가,아남1,12,84.9,15
"      87,000",2019, 창신동,두산,12,84.9,13
"      59,500",2019, 창신동,창신쌍용1,12,79.87,11
"      50,000",2019, 창신동,창신쌍용2,12,79.87,15
"      82,000",2019, 창신동,두산,12,84.9,1
"      55,000",2019, 창신동,창신쌍용2,12,79.87,8
"      89,900",2019, 창신동,두산,12,84.9,11
"      49,900",2019, 창신동,창신쌍용2,12,64.66,10
"      50,000",2019, 창신동,창신쌍용2,12,64.66,11
"      62,000",2019, 창신동,두산,12,59.95,23
"      49,500",2019, 창신동,창신쌍용2,12,64.66,10
"      60,000",2019, 창신동,창신쌍용2,12,115.53,1
"      25,500",2019, 창신동,덕산,12,59.28,3
"      43,800",2019, 창신동,창신쌍용2,12,54.7,5
"      44,700",2019, 창신동,창신쌍용2,12,64.66,2
"      55,900",2019, 창신동,창신쌍용2,12,79.87,8
"      70,000",2019, 창신동,창신쌍용1,12,106.62,13
"      51,700",2019, 창신동,창신쌍용1,12,54.7,6
"      34,100",2019, 창신동,동대문,12,28.8,3
"      56,700",2019, 창신동,창신쌍용2,12,79.87,6
"      55,800",2019, 창신동,창신쌍용2,12,79.87,9
"      45,950",2019, 창신동,창신쌍용2,12,64.66,3
"      47,500",2019, 창신동,창신쌍용2,12,64.66,4
"      11,700",2019, 숭인동,숭인한양LEEPS,12,12.78,4
"      62,400",2019, 숭인동,종로청계힐스테이트,12,59.9426,1
"      80,000",2019, 숭인동,종로센트레빌,12,84.92,3
"      69,500",2019, 숭인동,종로센트레빌,12,59.92,6
"      13,000",2019, 숭인동,종로중흥S클래스,12,17.811,15
"      80,000",2019, 숭인동,롯데캐슬천지인,12,84.95,11
"      80,000",2019, 숭인동,종로센트레빌,12,84.92,3
"      11,700",2019, 숭인동,삼전솔하임2차,12,14.69,6
"      80,500",2019, 숭인동,종로센트레빌,12,84.92,10
"      66,500",2019, 숭인동,종로청계힐스테이트,12,59.9426,3
"      65,800",2019, 숭인동,종로센트레빌,12,59.92,1
"     129,000",2019, 평동,경희궁자이(3단지),12,59.755,7
"     140,000",2019, 평동,경희궁자이(3단지),12,59.855,4
"     166,500",2019, 평동,경희궁자이(3단지),12,84.836,4
"     150,000",2019, 홍파동,경희궁자이(2단지),12,84.944,1
"     160,500",2019, 홍파동,경희궁자이(2단지),12,84.614,2
"     170,000",2019, 홍파동,경희궁자이(2단지),12,84.614,6
"     169,000",2019, 홍파동,경희궁자이(2단지),12,84.836,7
"     235,000",2019, 홍파동,경희궁자이(2단지),12,116.986,6
"      98,000",2019, 교북동,경희궁자이(4단지),12,45.879,8
"      98,000",2019, 교북동,경희궁자이(4단지),12,45.879,8
"      82,800",2019, 교북동,경희궁자이(4단지),12,37.2635,9
"      50,000",2019, 평창동,삼성,12,84.93,4
"      94,500",2019, 평창동,크래스빌,12,194.59,1
"      97,000",2019, 평창동,엘리시아,12,206.22,2
"      96,500",2019, 평창동,엘리시아,12,200.19,4
"      38,700",2019, 평창동,삼성,12,59.97,11
"      25,000",2019, 평창동,갑을아파트,12,64.88,11
"      84,960",2019, 무악동,현대,12,84.92,2
"      97,500",2019, 무악동,인왕산2차아이파크,12,84.0283,7
"     130,000",2019, 무악동,인왕산아이파크,12,114.931,7
"     106,000",2019, 무악동,인왕산아이파크,12,84.858,7
"      90,800",2019, 무악동,현대,12,84.92,15
"     130,000",2019, 무악동,인왕산아이파크,12,114.931,3
